gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
5158611173989883392,3.7353486917655925,1.9113673817380064,406.7991579873238,15.318815565428523,41.32197022851786,-13.607593112163459,0.57990456,20.242292,0418m137o0011779,0418m137_b0-001879,91670413219711295,J024517.25-133627.4,J024517.25-133627.4,J024517.25-133627.4,WISEA J024517.25-133627.4,,,0418m137o0011779
5173468771536637824,3.112227666610796,1.4887409632844182,598.1739129499468,11.018675494188262,43.311467038483414,-8.855861119764086,0.7385559,18.969223,0428m091o0015166,0428m091_b0-002156,97370433114653422,J025314.75-085121.2,J025314.75-085121.2,J025314.75-085121.2,SDSS J025314.75-085121.0,025314.75-085121.0,LQAC_043-008_010,0428m091o0015166
5176981608107886848,3.214442703500784,1.55540355006552,585.0702737170183,16.97464359636825,38.69070799053442,-8.985710197862975,0.68902206,19.005056,0382m091o0013943,0382m091_b0-001501,97210386906887519,J023445.77-085908.6,J023445.77-085908.6,J023445.77-085908.6,SDSS J023445.76-085908.5,023445.76-085908.5,LQAC_038-008_019,0382m091o0013943
5196196364077918464,3.4385538428674596,1.7943825828972444,480.92122070089215,15.647805338584202,130.76292108898485,-81.51773976642487,0.5956497,20.381157,1264m818o0059910,,,,,J084303.30-813104.6,,,,1264m818o0059910
5223092037697347712,3.593093737474653,1.6911055947231939,605.3864332854387,13.70942126447751,132.61420443030036,-70.27301435649802,0.57012177,20.55411,,,,,,J085027.43-701622.9,,,,1339m697o0005076
5473865346928875392,3.681236302692175,2.304275838643787,361.13796986155035,4.831037494868846,153.9084333605931,-23.62935787413901,0.9620266,19.878975,,1535m243_b0-004099,79641539084305076,J101538.02-233745.7,J101538.02-233745.7,J101538.02-233745.7,WISEA J101538.02-233745.7,,,1535m243o0026042
5479964166130098688,3.2363348633928295,1.122887068489332,587.408286950944,13.928506380185567,103.2103276891087,-60.1758928429402,0.8493881,19.97009,1020m606o0031846,,,J065250.47-601032.9,J065250.47-601032.9,J065250.47-601032.9,WISEA J065250.47-601032.9,,,1020m606o0031846
5503517496197831424,3.1013521745926944,1.5985430758742196,438.9905557047798,9.095992383705179,105.95422741177136,-53.26710920610744,0.6287594,20.541073,,,,,J070348.93-531601.1,J070348.93-531601.1,,,,1060m531o0014363
5509798525091285632,4.204832304743454,1.4655022422930573,491.07443617196145,11.288779849513192,108.27919472183328,-46.39089856318347,0.7572613,20.069078,1090m470o0036890,,,,J071306.96-462327.0,J071306.96-462327.0,,,,1090m470o0036890
5553075848221350784,3.7083052008369357,2.0379607517204947,579.1110188672365,13.21300832338409,91.27469231707406,-49.916557869102526,0.57585907,19.973711,0905m500o0021644,,,J060505.83-495459.5,J060505.83-495459.5,J060505.83-495459.5,WISEA J060505.83-495459.5,,,0905m500o0021644
5572100182520281856,3.3165249381515634,1.3989444279648713,480.57444226224777,11.235352903130616,90.30000907159662,-42.976019731013004,0.66963005,18.716946,0910m425o0004715,,,,,,,,,0910m425o0004715
